week_ending,ramadan,eid_fitr,eid_adha,hijri_month
2020-01-02,0,0,0,4
2020-01-09,0,0,0,4
2020-01-16,0,0,0,5
2020-01-23,0,0,0,5
2020-01-30,0,0,0,5
2020-02-06,0,0,0,5
2020-02-13,0,0,0,6
2020-02-20,0,0,0,6
2020-02-27,0,0,0,6
2020-03-05,0,0,0,6
2020-03-12,0,0,0,7
2020-03-19,0,0,0,7
2020-03-26,0,0,0,7
2020-04-02,0,0,0,7
2020-04-09,0,0,0,8
2020-04-16,0,0,0,8
2020-04-23,0,0,0,8
2020-04-30,1,0,0,8
2020-05-07,1,0,0,8
2020-05-14,1,0,0,9
2020-05-21,1,0,0,9
2020-05-28,1,1,0,9
2020-06-04,1,1,0,9
2020-06-11,0,1,0,10
2020-06-18,0,0,0,10
2020-06-25,0,0,0,10
2020-07-02,0,0,0,10
2020-07-09,0,0,0,11
2020-07-16,0,0,0,11
2020-07-23,0,0,0,11
2020-07-30,0,0,1,11
2020-08-06,0,0,1,12
2020-08-13,0,0,1,12
2020-08-20,0,0,0,12
2020-08-27,0,0,0,12
2020-09-03,0,0,0,1
2020-09-10,0,0,0,1
2020-09-17,0,0,0,1
2020-09-24,0,0,0,1
2020-10-01,0,0,0,1
2020-10-08,0,0,0,2
2020-10-15,0,0,0,2
2020-10-22,0,0,0,2
2020-10-29,0,0,0,2
2020-11-05,0,0,0,3
2020-11-12,0,0,0,3
2020-11-19,0,0,0,3
2020-11-26,0,0,0,3
2020-12-03,0,0,0,4
2020-12-10,0,0,0,4
2020-12-17,0,0,0,4
2020-12-24,0,0,0,4
2020-12-31,0,0,0,5
2021-01-07,0,0,0,5
2021-01-14,0,0,0,5
2021-01-21,0,0,0,5
2021-01-28,0,0,0,6
2021-02-04,0,0,0,6
2021-02-11,0,0,0,6
2021-02-18,0,0,0,6
2021-02-25,0,0,0,6
2021-03-04,0,0,0,7
2021-03-11,0,0,0,7
2021-03-18,0,0,0,7
2021-03-25,0,0,0,7
2021-04-01,0,0,0,8
2021-04-08,0,0,0,8
2021-04-15,1,0,0,8
2021-04-22,1,0,0,8
